mean,std,max_depth,min_samples_split,criterion,threshold,training_size,n_options
0.5,0.0,5,100,mse,22.464,0.5,32
0.5,0.0,5,100,mse,23.3968,0.5,32
0.8797355630824244,0.0041851020060269225,5,100,mse,30.396,0.5,32
0.8043569850186932,0.022541472294896083,5,100,mse,45.1672,0.5,32
0.6702292801552592,0.013453223627119626,5,100,mse,58.1726,0.5,32
0.5,0.0,5,100,mse,22.464,0.7,32
0.5,0.0,5,100,mse,23.3968,0.7,32
0.8817607284569604,0.004704245757184391,5,100,mse,30.396,0.7,32
0.8075869881645662,0.017992536421066862,5,100,mse,45.1672,0.7,32
0.6652283959305663,0.007849213781763944,5,100,mse,58.1726,0.7,32
0.5,0.0,5,100,friedman_mse,22.464,0.1,32
0.5,0.0,5,100,friedman_mse,23.3968,0.1,32
0.8728801651663897,0.005654311599616823,5,100,friedman_mse,30.396,0.1,32
0.7821713131894029,0.04708790951375954,5,100,friedman_mse,45.1672,0.1,32
0.67163301802461,0.023321474440407365,5,100,friedman_mse,58.1726,0.1,32
0.5,0.0,5,100,friedman_mse,22.464,0.2,32
0.5,0.0,5,100,friedman_mse,23.3968,0.2,32
0.873572518924745,0.004504400406298523,5,100,friedman_mse,30.396,0.2,32
0.7748559886735451,0.03993056113732355,5,100,friedman_mse,45.1672,0.2,32
0.6715374061331043,0.01764818651291569,5,100,friedman_mse,58.1726,0.2,32
0.5,0.0,5,100,friedman_mse,22.464,0.5,32
0.5,0.0,5,100,friedman_mse,23.3968,0.5,32
0.8817243792856206,0.003186859558412521,5,100,friedman_mse,30.396,0.5,32
0.8081282943705101,0.018982888550959504,5,100,friedman_mse,45.1672,0.5,32
0.6785819010073014,0.01847569773021139,5,100,friedman_mse,58.1726,0.5,32
0.5,0.0,5,100,friedman_mse,22.464,0.7,32
0.5,0.0,5,100,friedman_mse,23.3968,0.7,32
0.8819507481092927,0.0038587275170286705,5,100,friedman_mse,30.396,0.7,32
0.8112982101310393,0.015520490024854706,5,100,friedman_mse,45.1672,0.7,32
0.6711566703976942,0.013826620232961518,5,100,friedman_mse,58.1726,0.7,32
0.5,0.0,8,2,mse,22.464,0.1,32
0.6416756011407514,0.1965141378352379,8,2,mse,23.3968,0.1,32
0.9037100200971102,0.009616675135282918,8,2,mse,30.396,0.1,32
0.8043525629761665,0.027845302732474243,8,2,mse,45.1672,0.1,32
0.777324584251452,0.032007781067439664,8,2,mse,58.1726,0.1,32
0.5,0.0,8,2,mse,22.464,0.2,32
0.5223896051904768,0.08989770221119125,8,2,mse,23.3968,0.2,32
0.9104631849459978,0.008788272148846497,8,2,mse,30.396,0.2,32
0.8028446056141572,0.03732132712248139,8,2,mse,45.1672,0.2,32
0.7745128825039483,0.040587251415571124,8,2,mse,58.1726,0.2,32
0.5,0.0,8,2,mse,22.464,0.5,32
0.5010842129276478,0.0016178440267330474,8,2,mse,23.3968,0.5,32
0.9144405965834531,0.004841164114051252,8,2,mse,30.396,0.5,32
0.7929553910672454,0.042600578126565876,8,2,mse,45.1672,0.5,32
0.7824213641028254,0.0442480591968907,8,2,mse,58.1726,0.5,32
0.5,0.0,8,2,mse,22.464,0.7,32
0.5011992459534446,0.0016710657189655017,8,2,mse,23.3968,0.7,32
0.9126975324390519,0.00565221035369046,8,2,mse,30.396,0.7,32
0.811394487951698,0.03221844520794821,8,2,mse,45.1672,0.7,32
0.7584570290895243,0.030011403553715996,8,2,mse,58.1726,0.7,32
0.5,0.0,8,2,friedman_mse,22.464,0.1,32
0.6022746214411762,0.1795594112618134,8,2,friedman_mse,23.3968,0.1,32
0.9087942041889556,0.010397176694961789,8,2,friedman_mse,30.396,0.1,32
