max_depth,min_samples_split,criterion,n_options,training_size,threshold,gap,mean
8,2,mse,9468,0.8,86467304,max,0.9421511024027124
8,2,mse,9468,0.8,86467304,max,0.9400810277330636
8,2,mse,9468,0.8,86467304,max,0.9477779911025116
8,2,mse,9468,0.8,86467304,max,0.9399482339017816
8,2,mse,9468,0.8,86467304,max,0.9384542618476488
8,2,mse,9468,0.8,86467304,mean,0.9544764809498631
8,2,mse,9468,0.8,86467304,mean,0.9517137023921948
8,2,mse,9468,0.8,86467304,mean,0.9575312885598448
8,2,mse,9468,0.8,86467304,mean,0.9532312799512804
8,2,mse,9468,0.8,86467304,mean,0.9552698615830332
8,2,mse,9468,0.8,86467304,half_mean,0.9421880149879864
8,2,mse,9468,0.8,86467304,half_mean,0.9362817513431986
8,2,mse,9468,0.8,86467304,half_mean,0.9412880496715595
8,2,mse,9468,0.8,86467304,half_mean,0.9369617602563134
8,2,mse,9468,0.8,86467304,half_mean,0.9422105269667717
8,2,mse,9468,0.8,86467304,quarter_mean,0.9368744951505396
8,2,mse,9468,0.8,86467304,quarter_mean,0.93550007856345
8,2,mse,9468,0.8,86467304,quarter_mean,0.9378043680357986
8,2,mse,9468,0.8,86467304,quarter_mean,0.9302286151559704
8,2,mse,9468,0.8,86467304,quarter_mean,0.937691121221264
8,2,mse,9468,0.9,18760656,max,0.5006046237439653
8,2,mse,9468,0.9,18760656,max,0.4997005629416697
8,2,mse,9468,0.9,18760656,max,0.5011943704250591
8,2,mse,9468,0.9,18760656,max,0.4998198847262248
8,2,mse,9468,0.9,18760656,max,0.5002896645987513
8,2,mse,9468,0.9,18760656,mean,0.5
8,2,mse,9468,0.9,18760656,mean,0.5
8,2,mse,9468,0.9,18760656,mean,0.4999401125883339
8,2,mse,9468,0.9,18760656,mean,0.5
8,2,mse,9468,0.9,18760656,mean,0.5
8,2,mse,9468,0.9,18760656,half_mean,0.5
8,2,mse,9468,0.9,18760656,half_mean,0.5
8,2,mse,9468,0.9,18760656,half_mean,0.5
8,2,mse,9468,0.9,18760656,half_mean,0.5
8,2,mse,9468,0.9,18760656,half_mean,0.5
8,2,mse,9468,0.9,18760656,quarter_mean,0.6647292957082095
8,2,mse,9468,0.9,18760656,quarter_mean,0.6761972612091016
8,2,mse,9468,0.9,18760656,quarter_mean,0.6780466417026118
8,2,mse,9468,0.9,18760656,quarter_mean,0.6826194383350447
8,2,mse,9468,0.9,18760656,quarter_mean,0.6472217138236501
8,2,mse,9468,0.9,21436619,max,0.499798522498321
8,2,mse,9468,0.9,21436619,max,0.5000067606335948
8,2,mse,9468,0.9,21436619,max,0.4997982515131136
8,2,mse,9468,0.9,21436619,max,0.4997156548335979
8,2,mse,9468,0.9,21436619,max,0.4997970230040595
8,2,mse,9468,0.9,21436619,mean,0.5
8,2,mse,9468,0.9,21436619,mean,0.5
8,2,mse,9468,0.9,21436619,mean,0.5
8,2,mse,9468,0.9,21436619,mean,0.5
8,2,mse,9468,0.9,21436619,mean,0.5
8,2,mse,9468,0.9,21436619,half_mean,0.5
8,2,mse,9468,0.9,21436619,half_mean,0.5
8,2,mse,9468,0.9,21436619,half_mean,0.5
8,2,mse,9468,0.9,21436619,half_mean,0.5
8,2,mse,9468,0.9,21436619,half_mean,0.5
8,2,mse,9468,0.9,21436619,quarter_mean,0.6737517150305897
8,2,mse,9468,0.9,21436619,quarter_mean,0.6738735388213217
8,2,mse,9468,0.9,21436619,quarter_mean,0.6783203388498733
8,2,mse,9468,0.9,21436619,quarter_mean,0.6759560213756524
8,2,mse,9468,0.9,21436619,quarter_mean,0.6656532613052604
